stock_code,stock_name,sw_industry,year,label,ar_turnover,asset_turnover,cash_interest_coverage,current_asset_turnover,current_ratio,debt_to_asset,debt_to_equity,ebit,eps,fixed_asset_turnover,gross_margin,inventory_turnover,net_assets_growth,net_margin,net_profit_growth,ocf_per_share,operating_cash_flow,operating_income_ratio,operating_margin,quick_ratio,retained_earnings,revenue_growth,roa,roe,top10_holders_pct,total_assets,total_assets_growth,total_revenue,working_capital,audit_opinion_code,is_non_standard_audit
002299.SZ,圣农发展,养殖业,2022,0,19.3044,0.935,743.58916242559,3.3097,0.7376,47.4706,0.9047,645099913.94,0.3321,1.5745,8.5693,5.2348,0.23567366192116,2.4124,-8.3298,1.0838,1347888509.4,78.1612,2.902,0.2072,4559589131.77,16.1546,3.5867,-0.4722,62.31,18928326975.43,11.0586,16817085804.79,-2114515311.77,0.0,0
300453.SZ,三鑫医疗,医疗器械,2021,0,12.1717,0.8784,15848.58200291,2.2738,1.4451,30.3864,0.4718,195321138.81,0.3998,2.4324,34.3677,5.1347,15.321987253573,14.7568,34.8418,0.8368,329716957.18,94.275,16.7516,0.9351,481918536.73,23.8097,14.7368,2.5427,44.55,1406039522.12,12.9572,1164288763.57,168870784.01,0.0,0
601606.SH,长城军工,地面兵装Ⅱ,2023,0,1.1527,0.3724,-559.42585316102,0.5954,1.9409,41.5452,0.7146,26364180.4,0.04,1.5093,22.8823,1.8976,0.071008917630364,1.5562,-66.5637,-0.1057,-76545432.74,-86.6058,0.7936,1.4279,1092107734.72,-5.825,0.6081,-2.07,65.25,4494044249.84,7.5961,1614622864.42,1352509559.19,0.0,0
300756.SZ,金马游乐,专用设备,2023,0,5.7528,0.3641,1475.2090537613,0.5222,2.2952,33.1967,0.505,39161929.87,0.31,3.4932,35.3993,1.0719,29.278146588595,6.2181,287.4943,0.1303,20536950.39,73.4671,5.7618,1.6348,569427369.22,81.9565,1.9309,6.084,40.53,2110416445.81,8.4513,738455355.95,811679508.56,0.0,0
603050.SH,科林电气,电网设备,2021,0,1.8581,0.5997,-1460.7182226251,0.8033,1.4449,65.8351,1.9579,107970007.2,0.55,5.788,21.7079,2.3243,4.9579584905642,4.6009,-19.6728,-0.9559,-155064432.8,7.1389,4.6433,0.9834,613028163.19,16.3107,3.1752,-2.3274,33.7755,3801542728.34,26.7512,2039207683.1,892359130.47,0.0,0
300561.SZ,*ST汇科,软件开发,2023,1,1.7097,0.2001,90263.337090307,0.5677,6.288,5.3512,0.0564,2380303.57,0.016,3.0608,47.6249,1.609,-1.1137414605112,4.0926,-29.844,0.1115,36582900.1,-139.8307,3.2489,4.3732,215658156.51,-11.5161,0.3422,-0.3271,63.02,677831661.11,-4.9665,139177938.68,177633781.13,0.0,0
000070.SZ,特发信息,通信设备,2022,1,1.8945,0.5176,100.14314363174,0.7979,1.3556,69.9494,3.0658,151243738.88,0.0157,5.0627,15.9212,3.2922,-9.1319976498218,1.286,102.1461,0.1489,125781522.38,-177.8555,1.3631,0.9754,-24993247.85,-8.6962,1.8676,28.756,44.65,7873023140.63,-5.4159,4191611230.82,1297642171.19,0.0,0
600759.SH,ST洲际,油气开采Ⅱ,2022,0,22.3571,0.2153,145.32179652872,4.2457,0.1557,69.2101,2.3569,-35568538.63,-0.3263,33.1227,67.4821,13.0012,-10.965518948168,-25.6067,21.6928,0.3263,738545873.76,,-18.1556,0.0898,-893250468.92,15.6123,-0.2701,1.4721,34.41,13020580994.47,-2.2566,2836218400.04,-3897180625.15,2.0,1
002713.SZ,*ST东易,装修装饰Ⅱ,2023,1,9.5767,0.9526,-304.69423844762,2.4414,0.4577,92.8908,42.2245,-202446007.24,-0.5,6.4439,35.0626,13.2227,-69.104741591397,-6.1552,71.9979,-0.2648,-111083505.91,,-8.2762,0.3606,-821004963.9,16.2597,-6.5722,-27.2625,64.83,2930747294.52,-9.2621,2934413103.18,-1305124083.1,2.0,1
002388.SZ,新亚制程,其他电子Ⅱ,2022,1,3.4867,0.7314,80.105819642385,0.8345,1.9708,42.654,0.7511,50924464.63,0.01,19.7663,13.2774,6.8375,0.53804365198265,0.297,-90.333,0.0271,13738562.4,63.2483,1.7124,1.5661,254235134.42,-23.0828,2.1382,-4.1819,50.17,2521537715.35,12.4775,1742054265.48,1033669940.52,0.0,0
002412.SZ,汉森制药,中药Ⅱ,2023,0,3.8893,0.413,4373.6995785118,1.0849,2.5211,15.9838,0.1902,227724416.39,0.4074,2.0693,73.2197,1.0713,3.6374047086476,21.4556,22.3126,0.3198,160946071.17,74.1666,24.5871,1.7328,1215369926.58,4.3085,9.8424,1.4117,53.49,2336488623.93,1.988,955530797.42,540649780.89,0.0,0
001269.SZ,欧晶科技,光伏设备,2023,0,4.9312,1.1284,2436.4595322789,1.3923,2.3261,48.8453,0.9549,732668040.59,3.3989,8.0214,30.5884,7.3182,58.588604951253,20.8966,174.3253,0.909,174882928.76,99.1547,23.4388,1.7397,1166954210.22,118.2489,26.4186,14.7263,76.11,3539395455.08,76.333,3129349459.46,1667638616.49,0.0,0
000809.SZ,和展能源,房地产开发,2021,0,7.0391,0.0255,72.637107797786,0.027,5.4065,33.86,0.5119,-39133070.05,-0.172,0.7878,28.8681,0.0198,-4.6331285002407,-123.9284,-135.1302,0.071,58520364.94,,-103.8352,0.1126,2057792359.05,-32.9191,-0.8722,-2.7918,44.66,4406677687.27,-3.5045,114256648.97,3418249206.23,1.0,1
300228.SZ,富瑞特装,通用设备,2022,0,3.9485,0.438,1283.8195494794,0.6799,1.2368,53.6679,1.1766,-190894626.23,-0.388,1.8653,11.6456,1.6955,-11.976220024514,-13.2228,-629.5017,0.5757,331284156.3,,-13.159,0.7232,-15110390.96,1.1415,-5.2099,-14.5641,15.56,3790522306.25,7.1501,1604892010.54,461313180.08,0.0,0
000637.SZ,茂化实华,炼化及贸易,2021,1,58.3917,2.3176,171.77427044622,5.3885,1.1305,59.6505,1.6624,151440105.39,0.16,9.083,5.1148,22.6641,13.999735041677,1.4917,463.9514,0.1178,61218330.54,79.3575,2.0321,0.5232,462787705.75,39.383,6.2984,6.8653,47.7,2887679231.03,50.307,5572424946.92,149915678.1,0.0,0
605199.SH,ST葫芦娃,中药Ⅱ,2023,1,4.9,0.6837,154.92135972325,1.3864,1.27,63.8125,1.8305,43923618.6,0.03,4.7988,50.7073,3.5821,1.0702781389902,0.9456,-87.3352,0.0706,28252316.37,12.9625,1.5859,0.9448,334065817.27,18.4903,1.6728,-7.7591,78.8,2939486655.01,27.1373,1795183662.67,285448493.22,0.0,0
688053.SH,ST思科瑞,军工电子Ⅱ,2023,1,1.0563,0.1126,4138.6218388309,0.1434,23.9384,6.2192,0.0682,48731115.94,0.48,0.8764,53.9709,12.7719,1.0735335226821,23.1943,-47.676,0.6983,69833298.4,58.6466,24.966,10.318,343356005.69,-13.7517,2.7332,-6.3772,72.11,1840752863.87,6.7022,200838880.34,1281788353.87,0.0,0
002549.SZ,凯美特气,化学制品,2023,0,5.3146,0.2229,1022.4709766288,0.3922,2.2614,32.2909,0.4776,-25665397.02,-0.0392,0.8549,22.2338,6.3846,58.328012473913,-4.6825,-115.4723,0.286,204296075.01,,-4.8586,2.1414,521959429.96,-32.9698,-1.0015,-15.8696,53.55,2889048557.01,29.1911,571168318.39,925481176.26,0.0,0
688511.SH,天微电子,军工电子Ⅱ,2023,1,1.3873,0.1536,,0.1709,10.8634,10.9678,0.1232,55679628.29,0.6325,2.5105,59.1506,0.7072,6.9851209800878,35.3811,10.6446,0.1571,12568584.62,52.2906,33.7968,9.7977,237897816.07,26.8426,6.0892,0.5599,61.86,956810991.8,9.7256,140482684.67,774994199.94,0.0,0
300965.SZ,恒宇信通,航空装备Ⅱ,2022,1,0.549,0.119,588830.70417891,0.155,5.1746,12.4831,0.1426,25767080.45,0.5519,1.3716,55.8957,1.2512,1.9656946136854,18.0201,-51.2025,0.3274,19642214.63,75.9618,20.8026,4.8211,285589135.24,-3.7606,1.6687,-5.145,78.53,1576980347.16,4.3428,183777796.17,820511595.95,0.0,0
003004.SZ,*ST声迅,计算机设备,2023,1,1.0686,0.2701,-86.135930982121,0.4226,5.7009,30.4543,0.4377,25080590.9,0.31,1.1306,42.2642,5.065,11.018969964866,8.6361,-31.3329,-0.0151,-1234530.81,48.4116,8.2743,5.3099,297765426.54,-11.8131,2.4214,-1.8144,68.52,1167749579.4,29.1968,279777844.68,643193551.71,0.0,0
603030.SH,全筑股份,装修装饰Ⅱ,2021,1,1.9317,0.4084,-155.48803349497,0.4775,1.0282,84.3766,6.9459,-1122894827.27,-2.3418,7.5757,0.5252,7.2574,-51.168648729153,-31.8022,-1070.1061,-0.4296,-249162092.54,,-31.8645,0.8995,-166133344.32,-25.4856,-11.3463,-81.2179,53.0,9284483259.11,-11.6486,4041785250.52,210926695.62,0.0,0
300432.SZ,富临精工,电池,2023,0,5.0306,0.6608,408.96495374168,1.1653,1.0788,55.8915,1.266,-652149756.38,-0.4457,2.3405,5.4569,5.2925,-16.063344444792,-10.1159,-184.1169,0.2492,304908406.25,,-12.2543,0.9065,-48652881.13,-21.5806,-7.4803,-29.9489,46.98,9102995664.37,9.2349,5761265898.84,345100128.12,0.0,0
002602.SZ,世纪华通,游戏Ⅱ,2022,1,4.2156,0.3171,402.68010561982,1.3337,1.6076,24.3821,0.3392,-6273133594.73,-0.93,8.4285,51.5152,9.1929,-22.155365513605,-58.73,-369.7639,0.2,1490840725.58,,-57.4761,1.3542,3300758844.41,-18.8266,-17.3354,-33.7954,42.25,32659522324.23,-17.7631,11475126037.46,2887274227.45,0.0,0
301330.SZ,熵基科技,计算机设备,2022,0,5.6634,0.6686,4014.2538980484,0.8638,5.6874,15.1935,0.1817,187379931.54,1.5027,5.5604,44.4563,2.7588,122.77496015196,10.6357,12.4715,0.8386,124520033.18,94.5884,11.2774,4.9058,842547003.75,-1.8784,6.5302,-4.5256,75.25,3655960456.3,75.5207,1918559191.76,2441525652.61,0.0,0
002494.SZ,华斯股份,服装家纺,2022,0,7.2545,0.1786,1076.6355824296,0.4671,1.3169,26.2578,0.3476,-313309988.71,-0.8376,1.0363,-18.2304,0.951,-20.309162637105,-101.3059,-1913.9581,0.1115,42064008.69,,-100.2396,0.4926,-333419181.34,-23.3145,-17.5865,-23.5931,38.74,1650960568.89,-13.6581,318247612.46,132349112.55,0.0,0
603595.SH,ST东尼,消费电子,2023,1,2.5081,0.383,-275.43117851129,1.0802,0.6888,66.2434,2.2622,-859977366.76,-2.61,1.1061,12.7345,2.9713,-17.355743175369,-45.3003,-868.9482,-1.4607,-339538839.44,,-53.4366,0.4363,-263880921.2,-2.7639,-17.9353,-41.2624,64.31,5301496325.0,23.6269,1836391041.14,-773923260.99,0.0,0
000793.SZ,*ST华闻,出版,2023,1,1.9141,0.1297,212.7672344306,0.4332,0.9141,61.7561,2.132,-1139872790.21,-0.5507,1.7161,21.196,66.3127,-53.691077619509,-207.2226,-60.9096,0.1027,205074426.26,,-215.8604,0.855,-4697661892.91,-2.2714,-26.0852,-44.4561,28.9,3296861605.68,-39.4264,566616112.88,-95943369.92,1.0,1
300899.SZ,*ST凯鑫,环境治理,2023,1,1.3257,0.1739,6863.0457146106,0.1912,11.0016,8.7361,0.0957,12484924.71,0.2443,4.0408,36.848,1.4145,0.08342615003604,12.5146,-43.063,-0.0626,-3995523.15,51.85,12.6031,9.7443,211279302.1,-19.11,1.7425,-1.8143,58.18,723960803.05,2.1097,124627815.87,605434037.81,0.0,0
000909.SZ,*ST数源,房地产开发,2021,1,3.8312,0.3086,309.99990370703,0.4949,1.2874,54.5554,1.2899,211931472.8,0.1472,62.9302,23.8884,0.8967,2.291885233247,7.8323,57.6049,0.5101,231509237.28,81.0707,9.482,0.5771,421571756.54,14.417,4.868,0.7066,57.73,4379192283.94,1.1846,1343398764.72,587569702.18,0.0,0
300343.SZ,ST联创,化学制品,2023,1,8.7167,0.3366,2202.0190297822,0.517,2.2733,28.9739,0.4476,31944354.58,0.0112,2.0866,15.957,4.732,2.5488682118663,1.1161,-98.0392,0.2021,230286730.65,55.0132,3.3367,1.9879,-2091194286.8,-49.7923,1.0384,-41.2354,17.09,3068325252.87,-0.5256,1035615955.71,1073103050.58,0.0,0
603721.SH,*ST天择,影视院线,2023,1,2.0099,0.2547,11018.686065356,0.488,3.7153,37.2591,0.6404,-33291665.76,-0.07,0.8107,22.3445,4.9497,-5.1894897991014,-4.2504,-154.9263,0.3216,41810295.19,,-13.737,3.2305,154244951.48,9.3136,-3.6551,-4.5413,53.03,884601416.84,-5.596,232005654.83,328347780.67,0.0,0
002251.SZ,步步高,一般零售,2021,1,59.5924,0.466,953.8193501928,2.5191,0.2725,76.442,3.404,298091780.02,-0.22,3.4351,33.5028,5.0964,-0.69895355241495,-1.2513,-264.822,3.7859,3270655104.9,,1.4662,0.1169,488668529.66,-15.0936,1.0479,-4.0285,59.11,32343243508.23,31.7383,13360511594.2,-13332453394.66,0.0,0
603999.SH,读者传媒,出版,2023,0,8.8039,0.5221,134548.01714153,0.7828,3.8912,21.2131,0.2727,54227674.36,0.17,7.1518,17.9677,5.3997,4.8071138696331,7.3499,14.2765,0.3385,194965714.4,73.4838,5.8926,3.4042,1158033031.56,0.2438,2.187,0.5257,63.82,2510866704.07,2.5616,1294615276.17,1243523538.67,0.0,0
300225.SZ,*ST金泰,化学制品,2023,1,2.9335,0.6118,-328.2789863088,0.8932,2.1546,34.7654,0.5408,21092501.57,0.03,3.2959,26.4702,5.0442,6.8402171040697,2.0155,113.5192,-0.02,-10022131.99,54.2023,2.4311,1.7449,289967350.59,16.089,1.7563,14.4059,22.7,1282061434.1,14.4832,734743233.88,497979425.9,0.0,0
603709.SH,中源家居,家居用品,2023,0,8.7972,0.8919,1288.744123188,2.6043,0.935,56.4527,1.2964,31729557.64,0.22,2.9056,25.3233,5.1512,4.1656795451099,1.9338,150.9978,1.1014,105731631.34,66.5681,2.1866,0.5287,171065046.63,52.5239,2.5698,10.7631,75.99,1359580211.54,22.5024,1101285293.1,-36806138.61,0.0,0
603557.SH,*ST起步,服装家纺,2023,0,0.6022,0.2123,-82.661859112879,0.323,0.9508,93.7984,14.5487,-502045248.19,-1.3274,1.7134,37.5122,1.3578,-90.226117562922,-245.6456,-36.5215,-0.0582,-31352995.2,,-172.5779,0.7265,-1337703192.42,-23.8365,-39.8158,-135.4618,48.74,950693969.19,-39.4903,267702872.63,-32179950.96,2.0,1
300798.SZ,锦鸡股份,化学制品,2023,0,4.1202,0.4083,-9889.3217011383,0.7851,2.1793,28.3825,0.3963,20490923.93,0.0379,4.7866,13.1172,3.9575,26.872910805206,1.6719,109.132,-0.1339,-62768707.6,129.2963,3.816,1.5768,596925482.42,5.2787,0.8827,0.4673,56.53,2428674751.17,9.6932,947912519.26,599890058.0,0.0,0
603959.SH,ST百利,专业工程,2022,1,4.8122,0.8557,752.31032408056,1.1115,0.9564,83.4359,5.4788,49274686.15,0.0175,34.5507,10.0647,7.5549,1.5174343978882,0.793,-70.7125,0.4997,244985440.9,-78.8184,-0.0131,0.7703,-116334409.07,209.2428,1.3096,-3.3066,49.33,4329577928.71,35.4797,3219864213.35,-155930844.31,0.0,0
603179.SH,新泉股份,汽车零部件,2023,0,4.2963,0.9282,1060.9856204922,1.3966,1.3253,62.7758,1.7028,957521872.11,1.65,4.0017,20.0496,4.0007,21.523934817839,7.6151,71.1946,1.2107,589994936.32,100.844,8.777,0.8628,2132286977.8,52.1858,8.4068,5.7369,49.77,13447165075.67,44.0877,10571883599.87,2236088225.2,0.0,0
301083.SZ,百胜智能,专用设备,2023,0,6.0568,0.3952,110983.00831164,0.5315,3.6616,19.2106,0.2408,28205128.34,0.1978,4.3111,22.5031,3.6245,3.6930029170482,8.9054,-42.8512,0.1718,30564387.54,72.3083,9.6654,2.6143,261619804.73,-4.6519,2.871,-3.7324,73.43,1019475952.43,7.8422,388260960.75,496578829.32,0.0,0
688076.SH,ST诺泰,化学制药,2023,1,3.8162,0.3406,2177.2249507329,0.8115,1.5357,38.2816,0.6257,183004500.69,0.76,1.0319,60.9698,1.1515,13.613165434222,16.0082,26.2028,1.6428,350213817.95,99.4268,18.3509,1.0784,495373375.3,58.692,6.0303,1.0479,47.06,3547245952.44,40.6354,1033548079.03,521431971.49,0.0,0
003007.SZ,直真科技,软件开发,2023,0,1.8005,0.4281,4615.6864304171,0.6438,4.6146,14.0943,0.1643,72924413.2,0.76,3.967,62.9349,4.5914,8.4000995417127,17.7469,101.847,0.1308,13601033.05,12.4655,16.4094,4.2604,437383367.34,-11.2482,7.1594,4.4388,65.91,1024945541.35,1.258,436033742.99,506781900.74,0.0,0
300366.SZ,ST创意,软件开发,2023,1,1.224,0.4583,67.778612548706,0.5839,1.5289,49.9616,0.8956,-577085267.35,-0.794,25.4706,16.5481,1.5603,-18.166745735224,-33.0538,-735.4895,0.0437,26562965.65,,-36.378,0.978,-1087248922.51,-12.1509,-15.7895,-19.9097,28.54,3427832643.94,-11.697,1674943548.78,896006754.82,0.0,0
002047.SZ,*ST宝鹰,装修装饰Ⅱ,2021,0,1.5433,0.4118,67.032574571267,0.442,1.2124,75.9311,3.1958,-1707716257.02,-1.2445,91.3493,12.8015,69.8664,-39.481461157864,-35.4825,-1588.9761,0.1231,165093689.2,,-42.0973,1.172,452988857.96,-21.5865,-15.0607,-51.9251,42.28,10648920527.44,-11.4718,4669446321.16,1696125150.64,0.0,0
301538.SZ,骏鼎达,塑料,2022,0,3.4486,0.9547,117890.41253819,1.5394,4.6786,15.7334,0.1867,127465942.06,3.81,4.4525,43.2978,3.7047,29.176139942456,21.8735,15.8951,2.64,79178160.11,96.2976,24.4804,3.2924,420631769.0,11.9036,23.3056,-3.326,,602440995.75,22.5908,522148286.88,290161035.68,0.0,0
002305.SZ,*ST南置,房地产开发,2023,1,3.7946,0.0369,318.0209029642,0.0552,0.8679,91.976,53.6541,-1293267709.64,-0.9764,2.2226,-55.0309,0.1222,-77.736402640508,-165.9672,-105.7337,0.9101,1578263193.4,,-168.7646,0.2394,-2547028243.86,-89.2163,-4.506,-96.7501,44.69,28288719445.16,-2.8341,1058848156.8,-2868245786.95,0.0,0
688179.SH,阿拉丁,化学制品,2023,0,8.7389,0.2702,833.3949849251,0.3589,10.2214,31.1613,0.4527,94725588.95,0.49,1.7857,60.1955,0.3925,6.3197607796624,21.3041,-7.4841,0.2816,55787763.73,94.651,23.6293,5.8744,320581916.11,6.5518,6.3531,-1.5387,52.71,1505553615.7,1.9693,402876481.47,1011154826.05,0.0,0
300925.SZ,法本信息,软件开发,2023,0,3.2989,1.4276,270.64345678473,1.5021,3.7592,25.8803,0.3492,144285896.01,0.3,207.3438,21.204,100.3557,36.992429503299,2.9092,-12.5658,0.2754,117940483.77,73.8183,2.9974,3.6882,659142421.53,8.3311,5.3026,-3.0591,45.41,2767537119.15,3.4756,3884572474.23,1923539128.01,0.0,0
002528.SZ,*ST英飞,计算机设备,2022,1,1.4563,0.3646,-107.62462894951,0.4801,1.2088,71.3747,2.4612,-879544542.68,-0.8087,20.2794,11.3927,3.7882,-42.762963395726,-53.0639,31.7082,-0.0709,-84973972.82,,-50.7281,0.8167,-2290419751.74,-37.256,-17.4126,-7.4155,65.47,4369196015.82,-23.7912,1841452090.39,596115612.41,2.0,1
300477.SZ,ST合纵,电池,2023,1,2.347,0.3485,-1808.2288776939,0.6815,0.8817,76.1569,4.0129,-779276644.7,-0.6,1.2196,10.877,3.8381,-22.380577442856,-28.3623,-9044.3802,-1.9063,-2043579458.78,,-29.3725,0.6825,-727451000.66,-0.232,-9.1898,-30.8892,23.83,9688182135.23,33.2373,2954985646.13,-616057242.05,2.0,1
688235.SH,百济神州,化学制药,2023,0,9.3168,0.4083,-15236.078201369,0.5281,2.3229,38.9535,0.6381,-6487065000.0,-4.95,4.7796,84.5662,1.0964,-17.235524153641,-38.5452,50.7709,-5.7527,-7793254000.0,,-50.5658,1.997,-57688265000.0,82.1305,-15.2018,14.6049,48.13,41121675000.0,-7.0154,17423344000.0,16977029000.0,0.0,0
000903.SZ,ST云动,汽车零部件,2023,1,2.9313,0.4083,-1689.0051845062,0.7802,0.7065,77.5122,3.4759,-1172293638.51,-0.67,1.6677,-5.8169,2.049,-30.873884889097,-24.3787,-3.5207,-1.0381,-2045514999.44,,-24.0055,0.4222,-1335599609.48,11.5184,-9.0036,-10.7573,38.2,12841351839.64,-2.7122,5316816774.69,-2799940541.91,0.0,0
000151.SZ,中成股份,贸易Ⅱ,2022,0,6.7919,1.0269,292.9178240702,1.3052,1.146,73.2907,4.2498,-503253614.72,-0.9852,66.4862,6.1585,16.0951,-12.336289357641,-11.1124,-4268.9133,0.3056,103102613.11,,-12.3073,1.0493,-397798449.62,95.4988,-12.2404,-40.613,55.5,4549699016.96,23.8638,4222018008.07,476248589.67,0.0,0
300948.SZ,冠中生态,基础建设,2022,0,1.499,0.3748,-501.30918905505,0.4537,2.3112,36.3541,0.5712,61507513.72,0.4016,13.0019,27.6716,68.0432,5.7794699033679,11.566,-28.0217,-0.1016,-14225035.2,68.4971,12.5279,2.2695,386744507.06,12.7654,5.0849,-5.5052,64.67,1322097613.47,20.5043,453349628.91,625800839.52,0.0,0
300175.SZ,ST朗源,农产品加工,2023,1,1.7104,0.3204,-268.04237626153,0.6446,2.0024,29.565,0.3921,-64037532.14,-0.11,0.8286,16.6596,1.8899,-9.6947728464683,-31.3203,-93.2135,-0.0124,-5841595.09,,-28.4811,1.4013,-25224561.03,2.1384,-9.3172,-5.2933,31.81,662488290.76,-6.9688,220239975.13,165403912.94,2.0,1
603718.SH,*ST海利,动物保健Ⅱ,2023,0,2.6416,0.1518,-155.26355801659,0.3922,1.3489,29.1333,0.3968,58734279.13,0.1,1.3674,51.3945,0.9447,6.7213138634643,20.7765,-48.3009,-0.0127,-8367280.38,-20.0904,22.9187,1.0808,398406724.42,-19.7568,3.7033,-5.9997,58.45,1657749783.34,9.4764,240722981.59,145514244.37,0.0,0
600777.SH,*ST新潮,油气开采Ⅱ,2022,1,7.7916,0.3254,1866.306117197,3.2619,1.0107,46.0609,0.8539,4612116959.54,0.46,11.4903,65.5258,20.7074,38.383786718757,33.4294,756.6262,1.1579,7874210624.89,110.4009,48.6659,0.9532,2792839632.83,94.0721,16.0379,18.5337,31.96,31318500770.1,19.5515,9356969451.65,34858660.08,0.0,0
603828.SH,*ST利达,装修装饰Ⅱ,2022,1,2.2871,0.3997,-391.88910635718,0.6173,0.9032,82.7584,5.0311,-345159597.19,-0.56,4.6145,2.2495,136.5229,-29.295732520426,-16.5536,7.9347,-0.3868,-230517475.98,,-18.3428,0.8689,27609628.46,-19.0646,-6.6122,-6.44,61.22,5246181162.68,1.0077,2086399306.87,-355586061.59,0.0,0
